model,seed,attack,mcc,auroc,attack_recall
CNN-LSTM,53,daily_flattening,0.0,0.4767540152155537,1.0
CNN-LSTM,53,noise,0.0,0.5556318681318682,1.0
CNN-LSTM,53,partial_zeroing,0.0,0.5206043956043955,1.0
CNN-LSTM,53,peak_clipping,0.0,0.680672268907563,1.0
CNN-LSTM,53,reversal,0.0,0.4939271255060729,1.0
CNN-LSTM,53,scaled_reduction,0.0,0.7002442002442002,1.0
CNN-LSTM,71,daily_flattening,-0.1346153846153846,0.3485086342229199,0.21428571428571427
CNN-LSTM,71,noise,0.0038329089686267525,0.524240465416936,0.4117647058823529
CNN-LSTM,71,partial_zeroing,0.06435332511087412,0.6342229199372056,0.5
CNN-LSTM,71,peak_clipping,0.13937096857629283,0.6576500422654269,0.6153846153846154
CNN-LSTM,71,reversal,-0.08402479826832238,0.4143503555268261,0.29411764705882354
CNN-LSTM,71,scaled_reduction,0.06747705491683609,0.7293956043956044,0.5
CNN-LSTM,89,daily_flattening,0.0,0.5181318681318682,0.0
CNN-LSTM,89,noise,0.0,0.47541931752458066,0.0
CNN-LSTM,89,partial_zeroing,0.0,0.7396978021978022,0.0
CNN-LSTM,89,peak_clipping,0.0,0.5452240067624683,0.0
CNN-LSTM,89,reversal,0.0,0.141025641025641,0.0
CNN-LSTM,89,scaled_reduction,0.0,0.7744020685197156,0.0
CNN-LSTM,107,daily_flattening,-0.10482848367219183,0.22802197802197802,0.0
CNN-LSTM,107,noise,0.08894991799933215,0.682967032967033,0.2
CNN-LSTM,107,partial_zeroing,0.05668212412725118,0.4975024975024975,0.18181818181818182
CNN-LSTM,107,peak_clipping,0.12048722601554555,0.5727213962508081,0.23529411764705882
CNN-LSTM,107,reversal,-0.0659759743266858,0.47527472527472525,0.0625
CNN-LSTM,107,scaled_reduction,-0.018285579324805387,0.6772700983227299,0.10526315789473684
CNN-LSTM,131,daily_flattening,-0.1310356045902398,0.4205128205128206,0.0
CNN-LSTM,131,noise,0.2287237822097536,0.6353646353646354,0.36363636363636365
CNN-LSTM,131,partial_zeroing,-0.07214791053658226,0.6205899363794101,0.05263157894736842
CNN-LSTM,131,peak_clipping,0.07451755367231847,0.6218487394957983,0.17647058823529413
CNN-LSTM,131,reversal,-0.01898101898101898,0.42757242757242764,0.09090909090909091
CNN-LSTM,131,scaled_reduction,-0.06697668948863124,0.6837606837606838,0.05555555555555555
CNN-LSTM,149,daily_flattening,0.0,0.42719780219780223,0.0
CNN-LSTM,149,noise,0.0,0.39865689865689863,0.0
CNN-LSTM,149,partial_zeroing,0.5006882315714638,0.7972027972027972,0.2727272727272727
CNN-LSTM,149,peak_clipping,0.0,0.6182764603817235,0.0
CNN-LSTM,149,reversal,0.0,0.47928994082840237,0.0
CNN-LSTM,149,scaled_reduction,0.4372373160976031,0.6993720565149136,0.21428571428571427
CNN-LSTM,173,daily_flattening,0.01034452008423497,0.36770921386306005,0.15384615384615385
CNN-LSTM,173,noise,-0.07142857142857142,0.46153846153846156,0.07142857142857142
CNN-LSTM,173,partial_zeroing,0.2954179256673254,0.8269230769230769,0.5
CNN-LSTM,173,peak_clipping,0.23601417979062955,0.6111111111111112,0.3888888888888889
CNN-LSTM,173,reversal,-0.07142857142857142,0.46153846153846156,0.07142857142857142
CNN-LSTM,173,scaled_reduction,0.38011697706910913,0.7241758241758243,0.55
CNN-TCN,11,daily_flattening,-0.029302988659510996,0.5516483516483517,0.2
CNN-TCN,11,noise,0.0867459728181513,0.5154845154845155,0.36363636363636365
